177.716418,31
179.567164,19
171,21.149254
170,34.865672
166,45.58209
157.701493,52
149,58.014925
141.268657,65
132.552239,69
125,74.164179
119.119403,83
110,88.597015
103,96.313433
98,104.029851
96.746269,110
84.537313,112
74.820896,117
74.104478,123
71.38806,127
70,136.328358
75,146.044776
79,152.761194
90.477612,156
103.19403,158
113.089552,161
112.626866,166
103.656716,171
92.940299,175
83.223881,180
72.507463,184
61.791045,188
51.074627,192
41.358209,195
37.358209,205
39,216.074627
35,226.791045
39,237.507463
48,243.223881
57.940299,248
67.656716,253
80.373134,253
91,248.910448
99.80597,243
110.522388,239
122.238806,236
134.955224,234
136,241.671642
129.61194,250
124,259.104478
119.179104,269
111.462687,276
96.746269,276
82.029851,276
69.313433,274
56.597015,272
43.880597,274
35,279.835821
29.447761,289
23.731343,298
19,307.985075
21.701493,320
30.41791,324
38.134328,331
37,340.850746
28.432836,347
21.716418,355
16,364
21.716418,373
23,386.432836
26.149254,398
36,402.865672
49.58209,404
61.298507,401
71.014925,406
81,401.268657
88.447761,394
95,385.835821
101,377.119403
108.597015,370
117.313433,364
124.970149,363
119.253731,372
114,381.462687
111,393.179104
104,400.895522
97.38806,409
91,417.328358
93,426.044776
92.238806,436
94,446.477612
97,458.19403
105.910448,464
117.626866,461
127,464.343284
128,478.059701
131.776119,489
141.492537,494
151.208955,489
157,497.925373
159.641791,510
168.358209,516
178,517.074627
183,526.791045
192.507463,532
202,526.776119
207.940299,518
217.656716,513
228,508.626866
231,496.910448
236.80597,488
249.522388,488
254,477.761194
252.044776,465
254.328358,458
262.38806,458
274,460.895522
283,455.179104
285,442.462687
287,433.746269
282.029851,424
287,414.313433
282,404.597015
273.880597,398
265,392.164179
256.447761,386
250,377.731343
243.014925,370
243.701493,364
253.41791,369
262,375.134328
269,382.850746
276.567164,390
284.283582,397
294,394
306.716418,392
320.432836,393
332.149254,392
338,383.134328
341,371.41791
342.701493,361
335.985075,353
332,344.268657
332,335.552239
324.835821,328
326.880597,321
336,315.402985
341,305.686567
338,293.970149
331,286.253731
324.537313,278
319.820896,268
307.104478,266
293.38806,267
281.671642,266
267.955224,267
254.238806,266
243.522388,262
234,256.80597
228.089552,248
221,240.373134
212,234.656716
204,227.940299
199,218.223881
210,221.492537
221,225.208955
230,230.925373
241,234.641791
251.358209,239
264.074627,239
274.791045,235
286,231.492537
292,222.776119
289,211.059701
286,199.343284
289,187.626866
280.910448,181
271.19403,176
259.477612,173
248.761194,169
239,164.044776
229.328358,159
219.61194,154
213.104478,148
224.820896,151
237,151.537313
247.253731,148
252,138.029851
250,127.313433
244,118.597015
239.880597,108
232.164179,101
225,93.447761
216.731343,87
210.985075,80
209,76.701493
201,70.58209
193.865672,63
183.149254,65
177.567164,61
181,53.716418
177.716418,31
